Material,Carbon,Water,Waste,EIS,Risk_Level
Nylon,6.4,3000,0.8,0.35450980392156867,Medium
Polyester,5.5,2700,0.7,0.3096078431372549,Low
Satin,4.5,7000,0.4,0.33725490196078434,Medium
Denim,2.1,10000,0.5,0.3680392156862745,High
Silk,4.5,7000,0.4,0.33725490196078434,Medium
Velvet,2.1,10000,0.5,0.3680392156862745,High
Artificial_leather,5.5,2700,0.7,0.3096078431372549,Low
Artificial_fur,5.0,2000,0.7,0.2813725490196079,Low
Corduroy,2.1,10000,0.5,0.3680392156862745,High
Crepe,4.5,7000,0.4,0.33725490196078434,Medium
Terrycloth,2.1,10000,0.5,0.3680392156862745,High
Acrylic,5.0,2000,0.7,0.2813725490196079,Low
Wool,3.8,6000,0.6,0.3305882352941177,Medium
Linen,1.5,2500,0.3,0.14411764705882354,Low
Fleece,5.5,2700,0.7,0.3096078431372549,Low
Leather,17.0,17000,1.2,1.0,High
Felt,3.8,6000,0.6,0.3305882352941177,Medium
Cotton,2.1,10000,0.5,0.3680392156862745,High
Chenille,2.1,10000,0.5,0.3680392156862745,High
Viscose,4.0,5000,0.6,0.31176470588235294,Low
Suede,17.0,17000,1.2,1.0,High
