product_id,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs,Certifications,Sustainability_Rating
1,4,0,1.75,4511152.79,97844.11,0,2,1
2,5,1,124.39,1951566.31,37267.75,0,2,1
3,5,0,336.66,467454.52,38385.92,0,0,4
4,0,0,152.04,899576.9,32665.45,0,3,1
5,0,1,415.63,1809219.9,37295.47,1,1,1
6,3,0,447.65,2244115.38,69017.63,1,0,3
7,1,1,345.64,1020265.49,18373.35,0,2,4
8,4,0,336.7,3847649.16,28717.69,0,3,2
9,3,1,386.68,1494891.28,45916.88,1,2,1
10,2,1,417.76,3489944.51,50610.02,1,1,3
11,4,1,164.83,4380926.36,39252.99,1,2,3
12,0,0,215.43,4210420.72,88315.18,1,3,1
13,3,1,227.94,1040405.39,98864.61,0,2,2
14,3,0,335.15,1068529.66,20532.15,0,2,1
15,0,0,173.93,434142.38,46905.65,0,2,3
16,5,0,489.19,1549017.38,17075.64,1,2,3
17,5,1,375.74,3398780.12,75519.58,1,0,1
18,3,1,240.91,4088887.9,53391.1,1,2,3
19,3,0,411.26,3981108.89,98686.02,1,0,1
20,2,0,234.31,2678432.31,40469.98,0,2,2
21,5,1,181.28,1471160.32,8540.04,1,3,2
22,2,1,72.78,4564734.97,68343.61,0,3,1
23,4,0,60.14,404782.57,11022.95,0,0,2
24,1,0,184.09,2206445.72,13839.54,1,2,3
25,0,1,157.86,1103107.94,23052.1,1,0,4
26,4,1,148.28,3912838.88,57197.09,0,3,1
27,5,1,356.24,2261695.47,78206.66,0,1,1
28,3,1,292.76,1978759.25,33864.19,1,1,3
29,5,0,485.95,1745500.04,84480.28,0,2,4
30,3,0,480.24,2518993.55,30367.21,0,1,2
31,3,1,255.32,4642986.14,63309.79,0,1,1
32,1,0,478.34,4592843.93,93815.42,0,0,2
33,2,0,418.25,2416857.95,11371.3,0,1,3
34,4,0,124.81,3578456.07,41009.2,0,2,4
35,1,1,295.57,2208679.26,88617.25,1,2,1
36,5,1,434.37,4485908.7,40551.74,0,3,4
37,3,1,315.39,4238166.74,85154.11,1,1,3
38,4,1,202.43,2935889.82,80999.76,0,0,1
39,1,0,288.0,2328411.6,76891.7,1,3,3
40,4,0,465.37,3438997.67,33956.03,0,0,4
41,5,0,58.32,2938317.57,4671.87,1,3,2
42,4,1,317.44,3386658.66,9311.63,0,0,1
43,5,1,83.24,65384.37,81487.65,1,3,3
44,5,1,168.32,3411667.16,24814.84,1,1,3
45,3,1,134.29,1675918.75,13866.46,1,2,3
46,0,0,176.94,1706304.02,98388.45,1,1,2
47,3,1,459.57,1262304.83,91860.83,1,1,3
48,3,1,317.48,3250619.98,14502.18,1,0,4
49,3,1,118.12,2650618.81,97895.52,0,1,2
50,3,0,448.75,2427744.85,35739.14,0,3,3
51,0,1,346.21,4431517.33,93177.22,1,0,1
52,1,0,221.83,3232837.62,97765.16,1,3,1
53,4,1,474.7,1580162.53,22732.05,0,2,2
54,5,1,74.32,4110376.09,89038.36,1,1,1
55,4,1,394.67,1424293.75,28854.77,1,1,2
56,5,0,121.11,1357557.81,69593.07,0,0,4
57,4,0,204.09,1863153.5,26493.93,0,3,3
58,5,1,77.71,1880107.35,30899.97,0,3,1
59,2,1,343.04,2475171.71,27182.05,0,0,3
60,5,0,358.73,1568552.21,78799.16,0,0,3
61,4,1,204.77,1962249.61,35066.22,0,3,2
62,2,1,75.48,4650439.21,28599.2,1,0,2
63,3,0,44.34,2044130.86,2395.39,0,3,1
64,3,0,199.92,2488315.29,74339.23,0,2,2
65,5,1,291.79,3203689.5,50000.66,0,2,1
66,5,1,475.14,4548945.26,42811.53,0,3,2
67,5,0,152.06,3389499.28,58440.36,0,2,1
68,4,0,264.41,2637824.7,7912.57,0,3,3
69,5,0,364.82,2186640.3,5824.14,0,0,3
70,5,1,384.95,3477669.16,24539.14,0,0,3
71,0,0,53.16,357792.7,59407.19,0,0,1
72,4,1,123.64,4612093.6,56884.63,0,1,4
73,5,0,347.56,3505851.91,51945.53,0,2,2
74,4,0,186.63,2218131.45,98925.73,1,2,2
75,2,0,252.22,958875.53,53722.85,1,0,3
76,3,0,481.39,4906438.37,27322.55,0,1,3
77,1,1,242.61,1934618.84,63190.78,0,2,1
78,3,0,427.13,3641910.27,17326.87,1,3,3
79,0,1,47.65,1331967.52,18425.04,1,2,4
80,1,1,360.09,3732137.92,77538.73,0,1,4
81,1,0,316.7,1408780.91,51791.04,1,2,2
82,5,1,63.55,3546692.49,61813.16,1,1,1
83,5,0,409.37,1329572.99,70682.62,1,0,4
84,4,0,18.34,1971538.81,49206.09,0,1,4
85,4,1,419.84,4900485.4,92114.78,1,1,1
86,5,0,279.42,3242822.34,59473.38,1,0,3
87,0,0,17.89,2958385.59,30934.79,0,2,2
88,1,0,178.13,3408139.71,66214.85,0,1,2
