product_id,material,carbon_score,water_score,waste_score
1,linen,2,3,2
2,wool,6,5,3
3,polyester,9,3,8
4,cotton,7,9,5
5,cotton,7,9,5
6,polyester,9,3,8
7,wool,6,5,3
8,cotton,7,9,5
9,wool,6,5,3
10,cotton,7,9,5
11,cotton,7,9,5
12,polyester,9,3,8
13,polyester,9,3,8
14,linen,2,3,2
15,silk,5,5,4
16,polyester,9,3,8
17,cotton,7,9,5
18,silk,5,5,4
19,silk,5,5,4
20,cotton,7,9,5
21,wool,6,5,3
22,wool,6,5,3
23,silk,5,5,4
24,cotton,7,9,5
25,wool,6,5,3
26,polyester,9,3,8
27,cotton,7,9,5
28,polyester,9,3,8
29,silk,5,5,4
30,silk,5,5,4
31,polyester,9,3,8
32,wool,6,5,3
33,polyester,9,3,8
34,cotton,7,9,5
35,linen,2,3,2
36,wool,6,5,3
37,silk,5,5,4
38,silk,5,5,4
39,polyester,9,3,8
40,linen,2,3,2
41,wool,6,5,3
42,linen,2,3,2
43,polyester,9,3,8
44,polyester,9,3,8
45,cotton,7,9,5
46,cotton,7,9,5
47,linen,2,3,2
48,linen,2,3,2
49,polyester,9,3,8
50,silk,5,5,4
51,cotton,7,9,5
52,polyester,9,3,8
53,silk,5,5,4
54,cotton,7,9,5
55,silk,5,5,4
56,linen,2,3,2
57,cotton,7,9,5
58,cotton,7,9,5
59,wool,6,5,3
60,silk,5,5,4
61,wool,6,5,3
62,linen,2,3,2
63,cotton,7,9,5
64,wool,6,5,3
65,polyester,9,3,8
66,linen,2,3,2
67,polyester,9,3,8
68,polyester,9,3,8
69,cotton,7,9,5
70,polyester,9,3,8
71,cotton,7,9,5
72,cotton,7,9,5
73,linen,2,3,2
74,wool,6,5,3
75,silk,5,5,4
76,wool,6,5,3
77,wool,6,5,3
78,polyester,9,3,8
79,silk,5,5,4
80,linen,2,3,2
81,cotton,7,9,5
82,silk,5,5,4
83,cotton,7,9,5
84,linen,2,3,2
85,polyester,9,3,8
86,wool,6,5,3
87,linen,2,3,2
88,cotton,7,9,5
89,polyester,9,3,8
90,linen,2,3,2
91,wool,6,5,3
92,silk,5,5,4
93,linen,2,3,2
94,wool,6,5,3
95,polyester,9,3,8
96,polyester,9,3,8
97,linen,2,3,2
98,cotton,7,9,5
99,polyester,9,3,8
100,polyester,9,3,8
101,polyester,9,3,8
102,linen,2,3,2
103,polyester,9,3,8
104,wool,6,5,3
105,linen,2,3,2
106,polyester,9,3,8
107,polyester,9,3,8
108,cotton,7,9,5
109,wool,6,5,3
110,polyester,9,3,8
111,polyester,9,3,8
112,cotton,7,9,5
113,linen,2,3,2
114,silk,5,5,4
115,wool,6,5,3
116,linen,2,3,2
117,linen,2,3,2
118,linen,2,3,2
119,wool,6,5,3
120,polyester,9,3,8
121,polyester,9,3,8
122,silk,5,5,4
123,cotton,7,9,5
124,cotton,7,9,5
125,silk,5,5,4
126,wool,6,5,3
127,cotton,7,9,5
128,silk,5,5,4
129,linen,2,3,2
130,wool,6,5,3
131,linen,2,3,2
132,wool,6,5,3
133,silk,5,5,4
134,wool,6,5,3
135,linen,2,3,2
136,cotton,7,9,5
137,wool,6,5,3
138,linen,2,3,2
139,silk,5,5,4
140,silk,5,5,4
141,polyester,9,3,8
142,wool,6,5,3
143,linen,2,3,2
144,silk,5,5,4
145,wool,6,5,3
146,wool,6,5,3
147,cotton,7,9,5
148,cotton,7,9,5
149,linen,2,3,2
150,wool,6,5,3
151,wool,6,5,3
152,silk,5,5,4
153,silk,5,5,4
154,cotton,7,9,5
155,cotton,7,9,5
156,silk,5,5,4
157,wool,6,5,3
158,cotton,7,9,5
159,linen,2,3,2
160,cotton,7,9,5
161,linen,2,3,2
162,polyester,9,3,8
163,polyester,9,3,8
164,wool,6,5,3
165,polyester,9,3,8
166,cotton,7,9,5
167,linen,2,3,2
168,silk,5,5,4
169,polyester,9,3,8
170,silk,5,5,4
171,polyester,9,3,8
172,silk,5,5,4
173,polyester,9,3,8
174,linen,2,3,2
175,cotton,7,9,5
176,polyester,9,3,8
177,linen,2,3,2
178,silk,5,5,4
179,silk,5,5,4
180,wool,6,5,3
181,silk,5,5,4
182,linen,2,3,2
183,wool,6,5,3
184,silk,5,5,4
185,polyester,9,3,8
186,cotton,7,9,5
187,silk,5,5,4
188,cotton,7,9,5
189,silk,5,5,4
190,silk,5,5,4
191,polyester,9,3,8
192,cotton,7,9,5
193,cotton,7,9,5
194,silk,5,5,4
195,wool,6,5,3
196,silk,5,5,4
197,wool,6,5,3
198,silk,5,5,4
199,wool,6,5,3
200,linen,2,3,2
201,silk,5,5,4
202,silk,5,5,4
203,silk,5,5,4
204,linen,2,3,2
205,cotton,7,9,5
206,silk,5,5,4
207,wool,6,5,3
208,wool,6,5,3
209,linen,2,3,2
210,silk,5,5,4
211,polyester,9,3,8
212,polyester,9,3,8
213,wool,6,5,3
214,linen,2,3,2
215,silk,5,5,4
216,cotton,7,9,5
217,wool,6,5,3
218,cotton,7,9,5
219,linen,2,3,2
220,cotton,7,9,5
221,polyester,9,3,8
222,silk,5,5,4
223,wool,6,5,3
224,polyester,9,3,8
225,cotton,7,9,5
226,linen,2,3,2
227,linen,2,3,2
228,wool,6,5,3
229,wool,6,5,3
230,wool,6,5,3
231,linen,2,3,2
232,wool,6,5,3
233,linen,2,3,2
234,wool,6,5,3
235,linen,2,3,2
236,polyester,9,3,8
237,silk,5,5,4
238,polyester,9,3,8
239,silk,5,5,4
240,wool,6,5,3
241,cotton,7,9,5
242,linen,2,3,2
243,cotton,7,9,5
244,linen,2,3,2
245,linen,2,3,2
246,wool,6,5,3
247,polyester,9,3,8
248,polyester,9,3,8
249,polyester,9,3,8
250,silk,5,5,4
251,wool,6,5,3
252,wool,6,5,3
253,cotton,7,9,5
254,linen,2,3,2
255,cotton,7,9,5
256,polyester,9,3,8
257,linen,2,3,2
258,polyester,9,3,8
259,linen,2,3,2
260,cotton,7,9,5
261,polyester,9,3,8
262,polyester,9,3,8
263,wool,6,5,3
264,cotton,7,9,5
265,linen,2,3,2
266,linen,2,3,2
267,wool,6,5,3
268,wool,6,5,3
269,silk,5,5,4
270,polyester,9,3,8
271,wool,6,5,3
272,polyester,9,3,8
273,silk,5,5,4
274,wool,6,5,3
275,cotton,7,9,5
276,polyester,9,3,8
277,cotton,7,9,5
278,wool,6,5,3
279,wool,6,5,3
280,wool,6,5,3
281,cotton,7,9,5
282,cotton,7,9,5
283,cotton,7,9,5
284,cotton,7,9,5
285,polyester,9,3,8
286,silk,5,5,4
287,cotton,7,9,5
288,polyester,9,3,8
289,silk,5,5,4
290,wool,6,5,3
291,linen,2,3,2
292,cotton,7,9,5
293,wool,6,5,3
294,silk,5,5,4
295,silk,5,5,4
296,wool,6,5,3
297,wool,6,5,3
298,wool,6,5,3
299,polyester,9,3,8
300,linen,2,3,2
301,silk,5,5,4
302,polyester,9,3,8
303,linen,2,3,2
304,silk,5,5,4
305,cotton,7,9,5
306,wool,6,5,3
307,polyester,9,3,8
308,wool,6,5,3
309,cotton,7,9,5
310,silk,5,5,4
311,silk,5,5,4
312,wool,6,5,3
313,wool,6,5,3
314,wool,6,5,3
315,polyester,9,3,8
316,linen,2,3,2
317,silk,5,5,4
318,cotton,7,9,5
319,cotton,7,9,5
320,wool,6,5,3
321,cotton,7,9,5
322,polyester,9,3,8
323,wool,6,5,3
324,linen,2,3,2
325,cotton,7,9,5
326,linen,2,3,2
327,polyester,9,3,8
328,linen,2,3,2
329,wool,6,5,3
330,linen,2,3,2
331,polyester,9,3,8
332,linen,2,3,2
333,wool,6,5,3
334,polyester,9,3,8
335,cotton,7,9,5
336,polyester,9,3,8
337,wool,6,5,3
338,linen,2,3,2
339,silk,5,5,4
340,linen,2,3,2
341,polyester,9,3,8
342,silk,5,5,4
343,wool,6,5,3
344,linen,2,3,2
345,cotton,7,9,5
346,cotton,7,9,5
347,wool,6,5,3
348,polyester,9,3,8
349,cotton,7,9,5
350,cotton,7,9,5
351,linen,2,3,2
352,silk,5,5,4
353,wool,6,5,3
354,wool,6,5,3
355,cotton,7,9,5
356,cotton,7,9,5
357,wool,6,5,3
358,silk,5,5,4
359,cotton,7,9,5
360,wool,6,5,3
361,polyester,9,3,8
362,cotton,7,9,5
363,silk,5,5,4
364,silk,5,5,4
365,silk,5,5,4
366,wool,6,5,3
367,cotton,7,9,5
368,polyester,9,3,8
369,cotton,7,9,5
370,linen,2,3,2
371,linen,2,3,2
372,cotton,7,9,5
373,linen,2,3,2
374,cotton,7,9,5
375,silk,5,5,4
376,wool,6,5,3
377,cotton,7,9,5
378,polyester,9,3,8
379,cotton,7,9,5
380,polyester,9,3,8
381,linen,2,3,2
382,silk,5,5,4
383,wool,6,5,3
384,cotton,7,9,5
385,cotton,7,9,5
386,polyester,9,3,8
387,silk,5,5,4
388,linen,2,3,2
389,linen,2,3,2
390,cotton,7,9,5
391,silk,5,5,4
392,silk,5,5,4
393,cotton,7,9,5
394,silk,5,5,4
395,polyester,9,3,8
396,wool,6,5,3
397,silk,5,5,4
398,polyester,9,3,8
399,silk,5,5,4
400,cotton,7,9,5
401,polyester,9,3,8
402,silk,5,5,4
403,cotton,7,9,5
404,linen,2,3,2
405,wool,6,5,3
406,cotton,7,9,5
407,cotton,7,9,5
408,linen,2,3,2
409,wool,6,5,3
410,wool,6,5,3
411,cotton,7,9,5
412,linen,2,3,2
413,silk,5,5,4
414,silk,5,5,4
415,polyester,9,3,8
416,silk,5,5,4
417,silk,5,5,4
418,silk,5,5,4
419,silk,5,5,4
420,linen,2,3,2
421,wool,6,5,3
422,silk,5,5,4
423,cotton,7,9,5
424,linen,2,3,2
425,cotton,7,9,5
426,polyester,9,3,8
427,silk,5,5,4
428,cotton,7,9,5
429,wool,6,5,3
430,polyester,9,3,8
431,silk,5,5,4
432,cotton,7,9,5
433,linen,2,3,2
434,wool,6,5,3
435,linen,2,3,2
436,wool,6,5,3
437,wool,6,5,3
438,silk,5,5,4
439,linen,2,3,2
440,polyester,9,3,8
441,linen,2,3,2
442,silk,5,5,4
443,wool,6,5,3
444,wool,6,5,3
445,wool,6,5,3
446,polyester,9,3,8
447,wool,6,5,3
448,wool,6,5,3
449,linen,2,3,2
450,cotton,7,9,5
451,silk,5,5,4
452,silk,5,5,4
453,linen,2,3,2
454,wool,6,5,3
455,silk,5,5,4
456,silk,5,5,4
457,wool,6,5,3
458,polyester,9,3,8
459,silk,5,5,4
460,polyester,9,3,8
461,wool,6,5,3
462,silk,5,5,4
463,silk,5,5,4
464,polyester,9,3,8
465,linen,2,3,2
466,silk,5,5,4
467,cotton,7,9,5
468,cotton,7,9,5
469,linen,2,3,2
470,linen,2,3,2
471,linen,2,3,2
472,wool,6,5,3
473,polyester,9,3,8
474,linen,2,3,2
475,cotton,7,9,5
476,silk,5,5,4
477,cotton,7,9,5
478,polyester,9,3,8
479,silk,5,5,4
480,polyester,9,3,8
481,polyester,9,3,8
482,polyester,9,3,8
483,linen,2,3,2
484,cotton,7,9,5
485,linen,2,3,2
486,silk,5,5,4
487,cotton,7,9,5
488,cotton,7,9,5
489,polyester,9,3,8
490,wool,6,5,3
491,linen,2,3,2
492,linen,2,3,2
493,silk,5,5,4
494,linen,2,3,2
495,cotton,7,9,5
496,wool,6,5,3
497,polyester,9,3,8
498,silk,5,5,4
499,polyester,9,3,8
500,cotton,7,9,5
