product_id,embedding_vector,material,carbon_score,water_score,waste_score,impact_score,risk_level,explanation
1,[0.04052219 0.         0.00231546 ... 0.00126552 0.01024834 0.62678033],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
2,[0.02908803 0.         0.         ... 0.         0.         0.02684177],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
3,[0.02207913 0.00992709 0.         ... 0.00119458 0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
4,[0.02143995 0.         0.12881252 ... 0.         0.         0.03680702],cotton,7,9,5,7.0,High,Risk because high water consumption
5,[0.         0.07636195 0.         ... 0.         0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
6,[0.         0.         0.00028771 ... 0.         0.05255403 0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
7,[0.         0.         0.         ... 0.         0.         0.00547392],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
8,[0.03815819 0.01891943 0.03888393 ... 0.0122238  0.11164302 0.19361475],cotton,7,9,5,7.0,High,Risk because high water consumption
9,[0.09021915 0.         0.         ... 0.         0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
10,[0.464865 0.       0.       ... 0.       0.       0.      ],cotton,7,9,5,7.0,High,Risk because high water consumption
11,[0.00743756 0.         0.01769068 ... 0.00591446 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
12,[0.         0.         0.         ... 0.00661756 0.         0.01821466],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
13,[0.         0.         0.04862168 ... 0.01830992 0.07942538 0.04269891],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
14,[0. 0. 0. ... 0. 0. 0.],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
15,[0.         0.         0.02723195 ... 0.04903347 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
16,[0.01987015 0.         0.         ... 0.03386086 0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
17,[0. 0. 0. ... 0. 0. 0.],cotton,7,9,5,7.0,High,Risk because high water consumption
18,[0.0200959  0.01874436 0.         ... 0.03517266 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
19,[0.         0.         0.         ... 0.         0.         0.06178696],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
20,[0.03516655 0.         0.00835911 ... 0.09575803 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
21,[0.         0.         0.         ... 0.03174706 0.         0.04045513],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
22,[0.09224056 0.         0.10991354 ... 0.00513876 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
23,[0.         0.         0.0156549  ... 0.         0.         0.05742294],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
24,[0.05363248 0.         0.0727515  ... 0.06895431 0.         0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
25,[0.         0.         0.         ... 0.02357176 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
26,[0.01538769 0.05001238 0.         ... 0.         0.         0.10230821],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
27,[0.23240043 0.         0.         ... 0.00362142 0.         0.04826252],cotton,7,9,5,7.0,High,Risk because high water consumption
28,[0.         0.         0.         ... 0.         0.         0.01012072],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
29,[0. 0. 0. ... 0. 0. 0.],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
30,[0.02908056 0.         0.         ... 0.02735118 0.         0.        ],silk,5,5,4,4.666666666666667,Medium,Low environmental impact
31,[0.0237981  0.         0.00580151 ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
32,[0.         0.         0.         ... 0.00379475 0.         0.        ],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
33,[0.         0.         0.01133101 ... 0.         0.         0.        ],polyester,9,3,8,6.666666666666667,High,"Risk because high carbon footprint, high textile waste"
34,[0.         0.         0.         ... 0.05659021 0.02493514 0.        ],cotton,7,9,5,7.0,High,Risk because high water consumption
35,[0.         0.         0.         ... 0.00142133 0.05096512 0.00174874],linen,2,3,2,2.3333333333333335,Low,Low environmental impact
36,[0.         0.         0.02374226 ... 0.04271321 0.         0.09338612],wool,6,5,3,4.666666666666667,Medium,Low environmental impact
